Date,Holiday_Label
2015-04-06,Easter
2014-04-21,Easter
2013-04-01,Easter
2014-12-25,Christmas
2013-12-25,Christmas
2015-06-04,Public Holiday
2015-05-25,Public Holiday
2015-05-14,Public Holiday
2015-05-01,Public Holiday
2015-01-06,Public Holiday
2015-01-01,Public Holiday
2014-11-19,Public Holiday
2014-11-01,Public Holiday
2014-10-31,Public Holiday
2014-10-03,Public Holiday
2014-06-19,Public Holiday
2014-06-09,Public Holiday
2014-05-29,Public Holiday
2014-05-01,Public Holiday
2014-01-06,Public Holiday
2014-01-01,Public Holiday
2013-11-20,Public Holiday
2013-11-01,Public Holiday
2013-10-31,Public Holiday
2013-10-03,Public Holiday
2013-08-15,Public Holiday
2013-05-30,Public Holiday
2013-05-20,Public Holiday
2013-05-09,Public Holiday
2013-05-01,Public Holiday
2013-01-06,Public Holiday
2013-01-01,Public Holiday
2015-07-31,School Holiday
2015-07-30,School Holiday
2015-07-29,School Holiday
2015-07-28,School Holiday
2015-07-27,School Holiday
2015-07-26,School Holiday
2015-07-25,School Holiday
2015-07-24,School Holiday
2015-07-23,School Holiday
2015-07-22,School Holiday
2015-07-21,School Holiday
2015-07-20,School Holiday
2015-07-17,School Holiday
2015-07-16,School Holiday
2015-07-15,School Holiday
2015-07-14,School Holiday
2015-07-13,School Holiday
2015-07-10,School Holiday
2015-07-09,School Holiday
2015-07-08,School Holiday
2015-07-07,School Holiday
2015-07-06,School Holiday
2015-07-03,School Holiday
2015-07-02,School Holiday
2015-07-01,School Holiday
2015-06-30,School Holiday
2015-06-29,School Holiday
2015-06-05,School Holiday
2015-06-04,School Holiday
2015-06-03,School Holiday
2015-06-02,School Holiday
2015-06-01,School Holiday
2015-05-29,School Holiday
2015-05-28,School Holiday
2015-05-27,School Holiday
2015-05-26,School Holiday
2015-05-22,School Holiday
2015-05-21,School Holiday
2015-05-20,School Holiday
2015-05-19,School Holiday
2015-05-18,School Holiday
2015-05-15,School Holiday
2015-05-14,School Holiday
2015-05-13,School Holiday
2015-05-12,School Holiday
2015-05-11,School Holiday
2015-04-17,School Holiday
2015-04-16,School Holiday
2015-04-15,School Holiday
2015-04-14,School Holiday
2015-04-13,School Holiday
2015-04-10,School Holiday
2015-04-09,School Holiday
2015-04-08,School Holiday
2015-04-07,School Holiday
2015-04-06,School Holiday
2015-04-05,School Holiday
2015-04-04,School Holiday
2015-04-03,School Holiday
2015-04-02,School Holiday
2015-04-01,School Holiday
2015-03-31,School Holiday
2015-03-30,School Holiday
2015-03-29,School Holiday
2015-03-28,School Holiday
2015-03-27,School Holiday
2015-03-26,School Holiday
2015-03-25,School Holiday
2015-03-13,School Holiday
2015-03-12,School Holiday
2015-03-11,School Holiday
2015-03-10,School Holiday
2015-03-09,School Holiday
2015-03-06,School Holiday
2015-03-05,School Holiday
2015-03-04,School Holiday
2015-03-03,School Holiday
2015-03-02,School Holiday
2015-02-20,School Holiday
2015-02-19,School Holiday
2015-02-18,School Holiday
2015-02-17,School Holiday
2015-02-16,School Holiday
2015-02-13,School Holiday
2015-02-12,School Holiday
2015-02-11,School Holiday
2015-02-10,School Holiday
2015-02-09,School Holiday
2015-02-06,School Holiday
2015-02-05,School Holiday
2015-02-04,School Holiday
2015-02-03,School Holiday
2015-02-02,School Holiday
2015-01-09,School Holiday
2015-01-08,School Holiday
2015-01-07,School Holiday
2015-01-06,School Holiday
2015-01-05,School Holiday
2015-01-04,School Holiday
2015-01-03,School Holiday
2015-01-02,School Holiday
2015-01-01,School Holiday
2014-12-31,School Holiday
2014-12-30,School Holiday
2014-12-29,School Holiday
2014-12-28,School Holiday
2014-12-27,School Holiday
2014-12-26,School Holiday
2014-12-25,School Holiday
2014-12-24,School Holiday
2014-12-23,School Holiday
2014-12-22,School Holiday
2014-11-07,School Holiday
2014-11-06,School Holiday
2014-11-05,School Holiday
2014-11-04,School Holiday
2014-11-03,School Holiday
2014-10-31,School Holiday
2014-10-30,School Holiday
2014-10-29,School Holiday
2014-10-28,School Holiday
2014-10-27,School Holiday
2014-10-26,School Holiday
2014-10-25,School Holiday
2014-10-24,School Holiday
2014-10-23,School Holiday
2014-10-22,School Holiday
2014-10-21,School Holiday
2014-10-20,School Holiday
2014-10-17,School Holiday
2014-10-16,School Holiday
2014-10-15,School Holiday
2014-10-14,School Holiday
2014-10-13,School Holiday
2014-10-10,School Holiday
2014-10-09,School Holiday
2014-10-08,School Holiday
2014-10-07,School Holiday
2014-10-06,School Holiday
2014-09-12,School Holiday
2014-09-11,School Holiday
2014-09-10,School Holiday
2014-09-09,School Holiday
2014-09-08,School Holiday
2014-09-07,School Holiday
2014-09-06,School Holiday
2014-09-05,School Holiday
2014-09-04,School Holiday
2014-09-03,School Holiday
2014-09-02,School Holiday
2014-09-01,School Holiday
2014-08-31,School Holiday
2014-08-30,School Holiday
2014-08-29,School Holiday
2014-08-28,School Holiday
2014-08-27,School Holiday
2014-08-26,School Holiday
2014-08-25,School Holiday
2014-08-24,School Holiday
2014-08-23,School Holiday
2014-08-22,School Holiday
2014-08-21,School Holiday
2014-08-20,School Holiday
2014-08-19,School Holiday
2014-08-18,School Holiday
2014-08-17,School Holiday
2014-08-16,School Holiday
2014-08-15,School Holiday
2014-08-14,School Holiday
2014-08-13,School Holiday
2014-08-12,School Holiday
2014-08-11,School Holiday
2014-08-10,School Holiday
2014-08-09,School Holiday
2014-08-08,School Holiday
2014-08-07,School Holiday
2014-08-06,School Holiday
2014-08-05,School Holiday
2014-08-04,School Holiday
2014-08-03,School Holiday
2014-08-02,School Holiday
2014-08-01,School Holiday
2014-07-31,School Holiday
2014-07-30,School Holiday
2014-07-29,School Holiday
2014-07-28,School Holiday
2014-07-25,School Holiday
2014-07-24,School Holiday
2014-07-23,School Holiday
2014-07-22,School Holiday
2014-07-21,School Holiday
2014-07-18,School Holiday
2014-07-17,School Holiday
2014-07-16,School Holiday
2014-07-15,School Holiday
2014-07-14,School Holiday
2014-07-11,School Holiday
2014-07-10,School Holiday
2014-07-09,School Holiday
2014-07-08,School Holiday
2014-07-07,School Holiday
2014-06-20,School Holiday
2014-06-19,School Holiday
2014-06-18,School Holiday
2014-06-17,School Holiday
2014-06-16,School Holiday
2014-06-13,School Holiday
2014-06-12,School Holiday
2014-06-11,School Holiday
2014-06-10,School Holiday
2014-06-06,School Holiday
2014-06-05,School Holiday
2014-06-04,School Holiday
2014-06-03,School Holiday
2014-06-02,School Holiday
2014-05-30,School Holiday
2014-05-02,School Holiday
2014-05-01,School Holiday
2014-04-30,School Holiday
2014-04-29,School Holiday
2014-04-28,School Holiday
2014-04-25,School Holiday
2014-04-24,School Holiday
2014-04-23,School Holiday
2014-04-22,School Holiday
2014-04-21,School Holiday
2014-04-20,School Holiday
2014-04-19,School Holiday
2014-04-18,School Holiday
2014-04-17,School Holiday
2014-04-16,School Holiday
2014-04-15,School Holiday
2014-04-14,School Holiday
2014-04-13,School Holiday
2014-04-12,School Holiday
2014-04-11,School Holiday
2014-04-10,School Holiday
2014-04-09,School Holiday
2014-04-08,School Holiday
2014-04-07,School Holiday
2014-04-06,School Holiday
2014-04-05,School Holiday
2014-04-04,School Holiday
2014-04-03,School Holiday
2014-03-14,School Holiday
2014-03-13,School Holiday
2014-03-12,School Holiday
2014-03-11,School Holiday
2014-03-10,School Holiday
2014-03-07,School Holiday
2014-03-06,School Holiday
2014-03-05,School Holiday
2014-03-04,School Holiday
2014-03-03,School Holiday
2014-02-28,School Holiday
2014-02-27,School Holiday
2014-02-26,School Holiday
2014-02-25,School Holiday
2014-02-24,School Holiday
2014-02-21,School Holiday
2014-02-20,School Holiday
2014-02-19,School Holiday
2014-02-18,School Holiday
2014-02-17,School Holiday
2014-02-12,School Holiday
2014-02-11,School Holiday
2014-02-10,School Holiday
2014-02-07,School Holiday
2014-02-06,School Holiday
2014-02-05,School Holiday
2014-02-04,School Holiday
2014-02-03,School Holiday
2014-01-31,School Holiday
2014-01-30,School Holiday
2014-01-10,School Holiday
2014-01-09,School Holiday
2014-01-08,School Holiday
2014-01-07,School Holiday
2014-01-06,School Holiday
2014-01-05,School Holiday
2014-01-04,School Holiday
2014-01-03,School Holiday
2014-01-02,School Holiday
2014-01-01,School Holiday
2013-12-31,School Holiday
2013-12-30,School Holiday
2013-12-29,School Holiday
2013-12-28,School Holiday
2013-12-27,School Holiday
2013-12-26,School Holiday
2013-12-25,School Holiday
2013-12-24,School Holiday
2013-12-23,School Holiday
2013-12-20,School Holiday
2013-12-19,School Holiday
2013-11-01,School Holiday
2013-10-31,School Holiday
2013-10-30,School Holiday
2013-10-29,School Holiday
2013-10-28,School Holiday
2013-10-25,School Holiday
2013-10-24,School Holiday
2013-10-23,School Holiday
2013-10-22,School Holiday
2013-10-21,School Holiday
2013-10-20,School Holiday
2013-10-19,School Holiday
2013-10-18,School Holiday
2013-10-17,School Holiday
2013-10-16,School Holiday
2013-10-15,School Holiday
2013-10-14,School Holiday
2013-10-13,School Holiday
2013-10-12,School Holiday
2013-10-11,School Holiday
2013-10-10,School Holiday
2013-10-09,School Holiday
2013-10-08,School Holiday
2013-10-07,School Holiday
2013-10-06,School Holiday
2013-10-05,School Holiday
2013-10-04,School Holiday
2013-10-03,School Holiday
2013-10-02,School Holiday
2013-10-01,School Holiday
2013-09-30,School Holiday
2013-09-11,School Holiday
2013-09-10,School Holiday
2013-09-09,School Holiday
2013-09-06,School Holiday
2013-09-05,School Holiday
2013-09-04,School Holiday
2013-09-03,School Holiday
2013-09-02,School Holiday
2013-08-30,School Holiday
2013-08-29,School Holiday
2013-08-28,School Holiday
2013-08-27,School Holiday
2013-08-26,School Holiday
2013-08-23,School Holiday
2013-08-22,School Holiday
2013-08-21,School Holiday
2013-08-20,School Holiday
2013-08-19,School Holiday
2013-08-16,School Holiday
2013-08-15,School Holiday
2013-08-14,School Holiday
2013-08-13,School Holiday
2013-08-12,School Holiday
2013-08-11,School Holiday
2013-08-10,School Holiday
2013-08-09,School Holiday
2013-08-08,School Holiday
2013-08-07,School Holiday
2013-08-06,School Holiday
2013-08-05,School Holiday
2013-08-04,School Holiday
2013-08-03,School Holiday
2013-08-02,School Holiday
2013-08-01,School Holiday
2013-07-31,School Holiday
2013-07-30,School Holiday
2013-07-29,School Holiday
2013-07-28,School Holiday
2013-07-27,School Holiday
2013-07-26,School Holiday
2013-07-25,School Holiday
2013-07-24,School Holiday
2013-07-23,School Holiday
2013-07-22,School Holiday
2013-07-21,School Holiday
2013-07-20,School Holiday
2013-07-19,School Holiday
2013-07-18,School Holiday
2013-07-17,School Holiday
2013-07-16,School Holiday
2013-07-15,School Holiday
2013-07-14,School Holiday
2013-07-13,School Holiday
2013-07-12,School Holiday
2013-07-11,School Holiday
2013-07-10,School Holiday
2013-07-09,School Holiday
2013-07-08,School Holiday
2013-07-07,School Holiday
2013-07-06,School Holiday
2013-07-05,School Holiday
2013-07-04,School Holiday
2013-07-03,School Holiday
2013-07-02,School Holiday
2013-07-01,School Holiday
2013-06-28,School Holiday
2013-06-27,School Holiday
2013-06-26,School Holiday
2013-06-25,School Holiday
2013-06-24,School Holiday
2013-06-21,School Holiday
2013-06-20,School Holiday
2013-06-19,School Holiday
2013-05-31,School Holiday
2013-05-30,School Holiday
2013-05-29,School Holiday
2013-05-28,School Holiday
2013-05-27,School Holiday
2013-05-24,School Holiday
2013-05-23,School Holiday
2013-05-22,School Holiday
2013-05-21,School Holiday
2013-05-20,School Holiday
2013-05-17,School Holiday
2013-05-16,School Holiday
2013-05-15,School Holiday
2013-05-14,School Holiday
2013-05-13,School Holiday
2013-05-10,School Holiday
2013-05-09,School Holiday
2013-05-08,School Holiday
2013-05-07,School Holiday
2013-05-06,School Holiday
2013-05-03,School Holiday
2013-05-02,School Holiday
2013-04-09,School Holiday
2013-04-08,School Holiday
2013-04-05,School Holiday
2013-04-04,School Holiday
2013-04-03,School Holiday
2013-04-02,School Holiday
2013-04-01,School Holiday
2013-03-29,School Holiday
2013-03-28,School Holiday
2013-03-27,School Holiday
2013-03-26,School Holiday
2013-03-25,School Holiday
2013-03-24,School Holiday
2013-03-23,School Holiday
2013-03-22,School Holiday
2013-03-21,School Holiday
2013-03-20,School Holiday
2013-03-19,School Holiday
2013-03-18,School Holiday
2013-03-15,School Holiday
2013-03-14,School Holiday
2013-03-13,School Holiday
2013-03-12,School Holiday
2013-03-11,School Holiday
2013-03-08,School Holiday
2013-03-07,School Holiday
2013-03-06,School Holiday
2013-03-05,School Holiday
2013-03-04,School Holiday
2013-02-22,School Holiday
2013-02-21,School Holiday
2013-02-20,School Holiday
2013-02-19,School Holiday
2013-02-18,School Holiday
2013-02-15,School Holiday
2013-02-14,School Holiday
2013-02-13,School Holiday
2013-02-12,School Holiday
2013-02-11,School Holiday
2013-02-08,School Holiday
2013-02-07,School Holiday
2013-02-06,School Holiday
2013-02-05,School Holiday
2013-02-04,School Holiday
2013-02-01,School Holiday
2013-01-31,School Holiday
2013-01-11,School Holiday
2013-01-10,School Holiday
2013-01-09,School Holiday
2013-01-08,School Holiday
2013-01-07,School Holiday
2013-01-06,School Holiday
2013-01-05,School Holiday
2013-01-04,School Holiday
2013-01-03,School Holiday
2013-01-02,School Holiday
2013-01-01,School Holiday
